,sim_num,date_quarantined,q_on_ind_on,q_on_ind_off,q_on_ind_on_off,q_off_ind_on,q_off_ind_off,q_off_ind_on_off
0,0,2020-09-02,0,0,0,0,0,0
1,0,2020-09-03,0,0,0,0,0,0
2,0,2020-09-04,0,0,0,0,0,0
3,0,2020-09-05,0,0,0,0,0,0
4,0,2020-09-06,0,0,0,0,0,0
5,0,2020-09-07,0,0,0,0,0,0
6,0,2020-09-08,0,0,0,0,0,0
7,0,2020-09-09,0,0,0,0,0,0
8,0,2020-09-10,4,0,0,0,0,0
9,0,2020-09-11,0,0,0,0,0,0
10,0,2020-09-12,4,0,0,0,0,0
11,0,2020-09-13,8,0,0,0,0,0
12,0,2020-09-14,0,0,0,0,0,0
13,0,2020-09-15,0,0,0,0,0,0
14,0,2020-09-16,5,0,0,0,0,0
15,0,2020-09-17,0,0,0,0,0,0
16,0,2020-09-18,5,0,0,0,0,0
17,0,2020-09-19,0,0,0,0,0,0
18,0,2020-09-20,0,0,0,0,0,0
19,0,2020-09-21,0,0,0,0,0,0
20,0,2020-09-22,0,0,0,0,0,0
21,0,2020-09-23,0,0,0,0,0,0
22,0,2020-09-24,8,0,0,0,0,0
23,0,2020-09-25,0,0,0,0,0,0
24,0,2020-09-26,0,0,0,0,0,0
25,0,2020-09-27,0,0,0,0,0,0
26,0,2020-09-28,0,0,0,0,0,0
27,0,2020-09-29,0,0,0,0,0,0
28,0,2020-09-30,0,0,0,0,0,0
29,0,2020-10-01,0,0,0,0,0,0
30,0,2020-10-02,0,0,0,0,0,0
31,0,2020-10-03,9,0,0,0,0,0
32,0,2020-10-04,0,0,0,0,0,0
33,0,2020-10-05,0,0,0,0,0,0
34,0,2020-10-06,0,0,0,0,0,0
35,0,2020-10-07,0,0,0,0,0,0
36,0,2020-10-08,0,0,0,0,0,0
37,0,2020-10-09,9,0,0,0,0,0
38,0,2020-10-10,23,0,0,0,0,0
39,0,2020-10-11,0,0,0,0,0,0
40,0,2020-10-12,1,0,0,0,0,0
41,0,2020-10-13,0,0,0,0,0,0
42,0,2020-10-14,1,0,0,0,0,0
43,0,2020-10-15,0,0,0,0,0,0
44,0,2020-10-16,0,0,0,0,0,0
45,0,2020-10-17,0,0,0,0,1,0
46,0,2020-10-18,0,0,0,0,0,0
47,0,2020-10-19,0,0,0,0,0,0
48,0,2020-10-20,0,0,0,0,0,0
49,0,2020-10-21,0,0,0,0,0,0
50,0,2020-10-22,0,0,0,0,0,0
51,0,2020-10-23,2,0,0,0,0,0
52,0,2020-10-24,0,0,0,0,0,0
53,0,2020-10-25,0,0,0,0,0,0
54,0,2020-10-26,0,0,0,0,0,0
55,0,2020-10-27,0,0,0,0,0,0
56,0,2020-10-28,0,0,0,0,0,0
57,0,2020-10-29,0,0,0,0,0,0
58,0,2020-10-30,0,0,0,0,0,0
59,0,2020-10-31,0,0,0,0,0,0
